proxy_id,proxy,TRY,source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
2,https://8.219.97.248:80,1,mediazona,403,,,,,,,2023-05-28 00:10:58.726420
2,https://8.219.97.248:80,1,svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Max retries exceeded with url: /api/ (Caused by ProxyError('Cannot connect to proxy.', OSError('Tunnel connection failed: 502 Bad Gateway')))",2023-05-28 00:10:58.726422
2,https://8.219.97.248:80,1,currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Max retries exceeded with url: /api/ (Caused by ProxyError('Cannot connect to proxy.', OSError('Tunnel connection failed: 502 Bad Gateway')))",2023-05-28 00:10:58.726423
2,https://8.219.97.248:80,1,meduza,200,30,30,30,30,0,,2023-05-28 00:10:58.726424
2,https://8.219.97.248:80,1,thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Max retries exceeded with url: /category/news (Caused by ProxyError('Cannot connect to proxy.', OSError('Tunnel connection failed: 502 Bad Gateway')))",2023-05-28 00:10:58.726425
2,https://8.219.97.248:80,1,novyagazeta,200,100,100,100,100,100,,2023-05-28 00:10:58.726426
3,https://41.169.78.142:8080,1,tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7f3ffc12d9a0>, 'Connection to 41.169.78.142 timed out. (connect timeout=10)'))",2023-05-28 00:10:58.726427
3,https://41.169.78.142:8080,1,mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7f3fff34a370>, 'Connection to 41.169.78.142 timed out. (connect timeout=10)'))",2023-05-28 00:10:58.726428
3,https://41.169.78.142:8080,1,svoboda,200,20,20,20,20,20,,2023-05-28 00:10:58.726429
3,https://41.169.78.142:8080,1,currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Max retries exceeded with url: /api/ (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7f3fff349d00>, 'Connection to 41.169.78.142 timed out. (connect timeout=10)'))",2023-05-28 00:10:58.726431
3,https://41.169.78.142:8080,1,thebell,403,,,,,,,2023-05-28 00:10:58.726432
4,https://94.158.53.145:3128,1,tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by ProxyError('Cannot connect to proxy.', timeout('timed out')))",2023-05-28 00:10:58.726433
4,https://94.158.53.145:3128,1,mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f3fff349310>: Failed to establish a new connection: [Errno 111] Connection refused')))",2023-05-28 00:10:58.726434
4,https://94.158.53.145:3128,1,currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Max retries exceeded with url: /api/ (Caused by ProxyError('Cannot connect to proxy.', timeout('timed out')))",2023-05-28 00:10:58.726435
4,https://94.158.53.145:3128,1,thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Max retries exceeded with url: /category/news (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f3fff2b4c10>: Failed to establish a new connection: [Errno 111] Connection refused')))",2023-05-28 00:10:58.726436
5,https://8.208.90.194:1234,1,tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1131)')))",2023-05-28 00:10:58.726437
5,https://8.208.90.194:1234,1,mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1131)')))",2023-05-28 00:10:58.726438
5,https://8.208.90.194:1234,1,currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Max retries exceeded with url: /api/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1131)')))",2023-05-28 00:10:58.726439
5,https://8.208.90.194:1234,1,thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Max retries exceeded with url: /category/news (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(104, 'Connection reset by peer')))",2023-05-28 00:10:58.726441
6,https://54.174.92.235:80,1,tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1131)')))",2023-05-28 00:10:58.726442
6,https://54.174.92.235:80,1,mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1131)')))",2023-05-28 00:10:58.726443
