source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
mail,200,20,20,20,20,20,,2023-05-24 20:01:21.745554
regnum,200,100,100,100,100,100,,2023-05-24 20:01:21.745557
izvestia,403,,,,,,,2023-05-24 20:01:21.745560
lenta,200,200,200,200,200,200,,2023-05-24 20:01:21.745563
kp,200,200,200,200,200,200,,2023-05-24 20:01:21.745565
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 20:01:21.745568
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 20:01:21.745571
interfax,200,25,25,25,25,25,,2023-05-24 20:01:21.745574
vedomosti,200,200,200,200,200,187,,2023-05-24 20:01:21.745577
aif,200,288,288,288,288,288,,2023-05-24 20:01:21.745579
rg,200,100,100,100,100,0,,2023-05-24 20:01:21.745582
argumenti,200,30,30,30,30,30,,2023-05-24 20:01:21.745585
pravda,200,20,20,20,20,20,,2023-05-24 20:01:21.745587
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 20:01:21.745590
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 20:01:21.745593
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 20:01:21.745596
fontanka,200,30,30,30,30,30,,2023-05-24 20:01:21.745598
rbc,200,30,30,30,30,30,,2023-05-24 20:01:21.745601
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=5)",2023-05-24 20:01:21.745603
ria,200,100,0,100,100,100,,2023-05-24 22:01:15.550923
tass,200,99,98,99,99,99,,2023-05-24 22:01:15.550927
rosbalt,200,100,100,100,100,100,,2023-05-24 22:01:15.550930
ura,200,170,170,170,170,0,,2023-05-24 22:01:15.550932
mail,200,20,20,20,20,20,,2023-05-24 22:01:15.550935
regnum,200,100,100,100,100,100,,2023-05-24 22:01:15.550938
izvestia,403,,,,,,,2023-05-24 22:01:15.550940
lenta,200,200,200,200,200,200,,2023-05-24 22:01:15.550943
kp,200,200,200,200,200,200,,2023-05-24 22:01:15.550945
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 22:01:15.550948
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 22:01:15.550950
interfax,200,25,25,25,25,25,,2023-05-24 22:01:15.550953
vedomosti,200,200,200,200,200,187,,2023-05-24 22:01:15.550955
aif,200,289,289,289,289,289,,2023-05-24 22:01:15.550958
rg,200,100,100,100,100,0,,2023-05-24 22:01:15.550960
