title,summary,date,link,type,source,date_parsed
Украинские войска снова обстреляли Донецк,,2023-5-23,https://ria.ru/20230523/obstrel-1873717407.html,Лента новостей,ria,2023-05-23 23:53:38.157047
"Минобороны Чехии заявило, что обучило более 1800 украинских солдат",,2023-5-23,https://ria.ru/20230523/ukraina-1873715552.html,Лента новостей,ria,2023-05-23 23:53:38.157049
"Обучать украинских летчиков пилотировать F-16 будут в Европе, заявили в США",,2023-5-23,https://ria.ru/20230523/piloty-1873715386.html,Лента новостей,ria,2023-05-23 23:53:38.157050
В Госдуме пройдут слушания по ситуации с Wildberries,,2023-5-23,https://ria.ru/20230523/wildberries-1873714668.html,Лента новостей,ria,2023-05-23 23:53:38.157051
"Названы страны ЕС, которые не ставят визы в загранпаспорта старого образца",,2023-5-23,https://ria.ru/20230523/vizy-1873713369.html,Лента новостей,ria,2023-05-23 23:53:38.157052
"Пушилин заявил, что после Артемовска открывается плацдарм на другие города",,2023-5-23,https://ria.ru/20230523/dnr-1873712922.html,Лента новостей,ria,2023-05-23 23:53:38.157053
В Белгородской области 13 человек были ранены из-за действий ДРГ,,2023-5-23,https://ria.ru/20230523/drg-1873712826.html,Лента новостей,ria,2023-05-23 23:53:38.157055
Жители приграничных сел Белгородской области рассказали об эвакуации,,2023-5-23,https://ria.ru/20230523/evakuatsiya-1873712633.html,Лента новостей,ria,2023-05-23 23:53:38.157056
Германия отвергла обвинения Турции в посягательстве на свободу слова,,2023-5-23,https://ria.ru/20230523/svoboda-1873712110.html,Лента новостей,ria,2023-05-23 23:53:38.157057
Путин проводит встречу с председателем Конституционного суда,,2023-5-23,https://ria.ru/20230523/putin-1873711584.html,Лента новостей,ria,2023-05-23 23:53:38.157058
"Власти рассказали о школьнике, спасшем одноклассницу на линейке в Иловле",,2023-5-23,https://ria.ru/20230523/lineyka-1873711436.html,Лента новостей,ria,2023-05-23 23:53:38.157059
"Ростехнадзор назвал причину аварии на заводе ""Лукойла"" в Кстове",,2023-5-23,https://ria.ru/20230523/zavod-1873710861.html,Лента новостей,ria,2023-05-23 23:53:38.157060
В Волгограде более 260 домов и 20 соцобъектов остались без света,,2023-5-23,https://ria.ru/20230523/volgograd-1873709818.html,Лента новостей,ria,2023-05-23 23:53:38.157061
Собчак ответила на критику актрисы Васильевой,,2023-5-23,https://ria.ru/20230523/sobchak-1873630104.html,Лента новостей,ria,2023-05-23 23:53:38.157062
"Около 250 банков в США не переживут долговой кризис, считает Дерипаска",,2023-5-23,https://ria.ru/20230523/krizis-1873709559.html,Лента новостей,ria,2023-05-23 23:53:38.157063
"Глава МИД Нидерландов надеется, что Китай прислушается к Зеленскому",,2023-5-23,https://ria.ru/20230523/kitay-1873709186.html,Лента новостей,ria,2023-05-23 23:53:38.157064
"Дефолт в США наступит в считанные дни, заявил спикер палаты представителей",,2023-5-23,https://ria.ru/20230523/defolt-1873708420.html,Лента новостей,ria,2023-05-23 23:53:38.157065
Суд продлил арест журналисту WSJ Гершковичу до 30 августа,,2023-5-23,https://ria.ru/20230523/gershkovich-1873708027.html,Лента новостей,ria,2023-05-23 23:53:38.157068
Рябков: некоторые страны пытаются сбыть Украине F-16 под предлогом помощи,,2023-5-23,https://ria.ru/20230523/tekhnika-1873707807.html,Лента новостей,ria,2023-05-23 23:53:38.157069
Град выпал в Адыгее и в Краснодарском крае,,2023-5-23,https://ria.ru/20230523/grad-1873707037.html,Лента новостей,ria,2023-05-23 23:53:38.157070
Российских военных заочно осудили на Украине за подачу воды в Крым,,2023-5-23,https://ria.ru/20230523/ukraina-1873706894.html,Лента новостей,ria,2023-05-23 23:53:38.157071
Боррель отчитался о передаче Киеву 220 тысяч снарядов,,2023-5-23,https://ria.ru/20230523/ukraina-1873706769.html,Лента новостей,ria,2023-05-23 23:53:38.157072
"""АвтоВАЗ"" планирует начать выпуск новой Lada Vesta на природном газе",,2023-5-23,https://ria.ru/20230523/vesta-1873705833.html,Лента новостей,ria,2023-05-23 23:53:38.157073
В Грозном прошел митинг против посягательств на Коран,,2023-5-23,https://ria.ru/20230523/koran-1873704533.html,Лента новостей,ria,2023-05-23 23:53:38.157074
"Чехия избавится от зависимости от российской нефти, заявил премьер Фиала",,2023-5-23,https://ria.ru/20230523/nefteprovod-1873704202.html,Лента новостей,ria,2023-05-23 23:53:38.157075
"Источник рассказал, чем займется новый замглавы МИД",,2023-5-23,https://ria.ru/20230523/butin-1873703954.html,Лента новостей,ria,2023-05-23 23:53:38.157076
В Минобороны Нидерландов допустили расширение коалиции по F-16 для Украины,,2023-5-23,https://ria.ru/20230523/f-16-1873703362.html,Лента новостей,ria,2023-05-23 23:53:38.157077
В ЛНР планируют построить три предприятия по переработке отходов,"Гендиректор Российского экологического оператора Денис Буцаев рассказал, что суммарная мощность по ним может составить до 700 тыс. тонн в год",2023-5-23,https://tass.ru/ekonomika/17825579,Экономика и бизнес,tass,2023-05-23 23:53:39.827187
"Додик считает, что Россия станет одной из опор нового многополярного мира","Президент Республики Сербской отметил отсутствие ""одной силы, которая убежала на край света и оттуда делает, что хочет""",2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825581,Международная панорама,tass,2023-05-23 23:53:39.827198
Россия предложила проект резолюции о ЧС в области здравоохранения на Украине,"Замглавы Минздрава России Сергей Глаголев сообщил, что коспонсорами проекта документа выступили Белоруссия, Сирия, КНДР и Никарагуа",2023-5-23,https://tass.ru/obschestvo/17825571,Общество,tass,2023-05-23 23:53:39.827199
"В финансировании партии ""Слуга народа"" нашли признаки нарушения закона",Национальное агентство по предотвращению коррупции Украины направило соответствующие материалы в полицию,2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825563,Международная панорама,tass,2023-05-23 23:53:39.827200
Иран и Россия подчеркнули важность использования национальных валют в торговле,Председатель ЦБ исламской республики Мохаммад Фарзин отметил необходимость расширения сотрудничества в области банковской инфраструктуры,2023-5-23,https://tass.ru/ekonomika/17825555,Экономика и бизнес,tass,2023-05-23 23:53:39.827201
"Додик заявил, что для него большая честь вручить орден Путину","Президент Республики Сербской назвал российского лидера ""человеком, который считается одним из самых влиятельных в мире""",2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825533,Международная панорама,tass,2023-05-23 23:53:39.827202
Протасевич рассказал о желании вернуться в журналистику,"Бывший участник признанной в Белоруссии террористической организации Nexta отметил, что его ""сдали свои""",2023-5-23,https://tass.ru/obschestvo/17825543,Общество,tass,2023-05-23 23:53:39.827204
"Словения одобрила резолюцию о признании голода 1932-1933 годов на Украине ""геноцидом""","За принятие декларации проголосовали 67 депутатов нижней палаты парламента, против - восемь",2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825515,Международная панорама,tass,2023-05-23 23:53:39.827205
